Index	Parent_1	Parent_2	Hybrid_name	Mode	Source	Notes
1	V. lentago	V. nudum	V. vetteri	natural	Egolf (1956) p.3	
2	V. lentago	V. prunifolium	V. jackii	natural	Egolf (1956) p.3	
3	V. japonicum	V. erosum var. punctatum	V. krusianum	natural	Egolf (1956) p.3	
4	V. carlesii	V. butchuense	V. juddii	?	Egolf (1956) p.3	
5	V. carlesii	V. utile	V. burkwoodii	hort	Egolf (1956) p.4	
6	V. carlesii	V. macrocephalum	V. carlcephalum	hort	Egolf (1956) p.4	
7	V. rhytidophyllum	V. lantana	V. rhytidophylloides	hort	Egolf (1956) p.4	
8	V. rhytidophyllum	V. buddleifolium	V. rhytidocarpum	hort	Egolf (1956) p.4	
9	V. grandiflorum	V. fragrans	V. bodnantense	hort	Egolf (1956) p.5	only one direction – fragrans seed parent, but successful backcross to both
